name,county,role,role_note,lat,lon,pitch_bearing,bearing_source,match_dist_m,n_candidates,capacity,lore,lore_url
Croke Park,Dublin,national,,53.360656,-6.251319,19.3,matched_inside_boundary,60.3,1,82300,"Named after Archbishop Thomas Croke, an early GAA patron; the GAA's headquarters and national stadium since 1913.",https://en.wikipedia.org/wiki/Croke_Park
Semple Stadium,Tipperary,county_main,,52.6822,-7.826204,91.9,matched_inside_boundary,103.7,1,45690,"Named after Tom Semple, captain of the Thurles Blues hurling team in the early 1900s.",https://en.wikipedia.org/wiki/Semple_Stadium
Pairc Ui Chaoimh,Cork,county_main,,51.899839,-8.435386,74.2,matched_150m_radius,18.5,1,45000,"Named after Pádraig Ó Caoimh, GAA Director-General 1929-1964; rebuilt and reopened in 2017.",https://en.wikipedia.org/wiki/P%C3%A1irc_U%C3%AD_Chaoimh
Gaelic Grounds,Limerick,county_main,,52.670156,-8.654467,83.1,matched_inside_boundary,135.4,1,44023,"Limerick GAA's home ground since 1918, on the banks of the Shannon.",https://en.wikipedia.org/wiki/Gaelic_Grounds
Fitzgerald Stadium,Kerry,county_main,,52.06636,-9.508754,82.4,matched_150m_radius,6.0,1,38000,"Named after Dick Fitzgerald, Kerry captain and one of the game's first tactical writers.",https://en.wikipedia.org/wiki/Fitzgerald_Stadium
St Tiernach's Park,Monaghan,county_main,,54.185712,-7.233213,73.6,matched_inside_boundary,168.0,1,29000,"Named after Saint Tiarnach, patron saint of Clones; regular host of Ulster finals.",https://en.wikipedia.org/wiki/St_Tiernach%27s_Park
MacHale Park,Mayo,county_main,,53.85354,-9.286571,13.3,matched_inside_boundary,133.2,1,27870,"Named after Archbishop John MacHale of Tuam, a 19th-century Irish-language advocate.",https://en.wikipedia.org/wiki/MacHale_Park
Nowlan Park,Kilkenny,county_main,,52.656415,-7.239709,35.8,matched_inside_boundary,149.1,1,27000,"Named after James Nowlan, GAA president 1901-1921, a Kilkenny man.",https://en.wikipedia.org/wiki/Nowlan_Park
Pearse Stadium,Galway,county_main,,53.26329,-9.084546,72.7,matched_inside_boundary,124.6,1,26197,"Named after Pádraig Pearse, executed leader of the 1916 Easter Rising.",https://en.wikipedia.org/wiki/Pearse_Stadium
Breffni Park,Cavan,county_main,,53.981823,-7.360472,5.9,matched_150m_radius,0.0,1,25030,"Named after the historic Kingdom of Breifne, which covered Cavan and Leitrim.",https://en.wikipedia.org/wiki/Breffni_Park
Dr Hyde Park,Roscommon,county_main,,53.624836,-8.18111,114.8,matched_150m_radius,132.8,1,23900,"Named after Douglas Hyde, first President of Ireland and a founder of the Gaelic League.",https://en.wikipedia.org/wiki/Dr_Hyde_Park
O'Moore Park,Laois,county_main,,53.026148,-7.302527,166.7,matched_inside_boundary,130.9,1,22000,"Named after Rory O'Moore, 17th-century leader of the Irish Confederate Wars.",https://en.wikipedia.org/wiki/O%27Moore_Park
Cusack Park,Clare,county_main,,52.846716,-8.978523,87.7,matched_150m_radius,45.4,1,20800,"Named after Michael Cusack, a founder of the GAA in 1884; also known in Irish as Páirc Uí Chíosóg.",https://en.wikipedia.org/wiki/Cusack_Park_(Ennis)
Pairc Esler,Down,county_main,,54.163192,-6.334212,,needs_manual,0.0,2,20000,"Named after John Esler, a Down GAA official; shared with Newry Shamrocks GAC.",https://en.wikipedia.org/wiki/P%C3%A1irc_Esler
Markievicz Park,Sligo,county_main,,54.257046,-8.465924,157.8,matched_150m_radius,141.1,1,18558,"Named after Constance Markievicz, 1916 Rising participant and first woman elected to Dáil Éireann; built in 1955.",https://en.wikipedia.org/wiki/Markievicz_Park
Celtic Park,Derry,county_main,,54.993213,-7.333583,26.9,matched_inside_boundary,146.7,1,18500,Also known as Páirc na gCeilteach; Derry GAA's home ground in the city.,https://en.wikipedia.org/wiki/Celtic_Park_(Derry)
Athletic Grounds,Armagh,county_main,,54.343709,-6.662648,168.6,matched_inside_boundary,19.5,1,18500,A multi-sport venue in Armagh city used by Armagh GAA since the early 20th century.,https://en.wikipedia.org/wiki/Athletic_Grounds_(Armagh)
Wexford Park,Wexford,county_main,,52.332646,-6.47614,77.3,matched_150m_radius,129.1,1,18000,"Wexford GAA's home ground since 1904, in Wexford town.",https://en.wikipedia.org/wiki/Wexford_Park
Brewster Park,Fermanagh,county_main,,54.35108,-7.635159,138.0,matched_150m_radius,0.0,1,18000,Fermanagh GAA's home ground in Enniskillen.,https://en.wikipedia.org/wiki/Brewster_Park
O'Connor Park,Offaly,county_main,,53.280263,-7.489648,98.0,matched_inside_boundary,134.0,1,18000,"Named after Dinny O'Connor, a local GAA benefactor; in Tullamore.",https://en.wikipedia.org/wiki/O%27Connor_Park
Healy Park,Tyrone,county_main,,54.614019,-7.297323,165.3,verified_satellite,26.6,1,17636,Named after Bishop Eugene O'Doherty's predecessor John Healy; in Omagh.,https://en.wikipedia.org/wiki/Healy_Park
MacCumhaill Park,Donegal,county_main,,54.801342,-7.779774,168.9,verified_satellite,95.3,1,17500,"Named after Fionn mac Cumhaill of Irish mythology; home of the Seán MacCumhaills club, in Ballybofey.",https://en.wikipedia.org/wiki/MacCumhaill_Park
