mid_lat,mid_lon,bearing_deg
54.639,-5.8755,90.0
54.639,-5.8765,90.0
54.639,-5.8775,90.0
54.6395,-5.8785,149.9
54.64,-5.8795,90.0
54.64,-5.8805,90.0
54.64,-5.8815,90.0
54.6405,-5.8825,149.9
54.641,-5.8835,90.0
54.641,-5.8845,90.0
54.641,-5.886,90.0
54.6415,-5.8875,149.9
54.642,-5.8885,90.0
54.642,-5.89,90.0
54.6425,-5.891,0.0
54.643,-5.8915,90.0
54.643,-5.8925,90.0
54.643,-5.8935,90.0
54.6435,-5.8945,149.9
54.644,-5.8955,90.0
54.644,-5.8965,90.0
54.644,-5.8975,90.0
54.6445,-5.8985,149.9
54.645,-5.8995,90.0
54.6455,-5.902,113.4
54.646,-5.9055,90.0
54.6465,-5.9075,149.9
54.647,-5.9085,90.0
54.647,-5.9095,90.0
54.647,-5.9105,90.0
54.6475,-5.911,0.0
54.6485,-5.911,0.0
54.649,-5.9115,90.0
54.6495,-5.912,0.0
54.65,-5.9115,90.0
54.6505,-5.911,0.0
54.651,-5.9105,90.0
54.6515,-5.91,0.0
54.652,-5.9095,90.0
54.652,-5.9085,90.0
54.6525,-5.908,0.0
54.653,-5.9075,90.0
54.6535,-5.907,0.0
54.654,-5.9065,90.0
54.6545,-5.906,0.0
54.655,-5.9055,90.0
54.6555,-5.905,0.0
54.656,-5.9045,90.0
54.6565,-5.904,0.0
54.657,-5.9035,90.0
54.6575,-5.903,0.0
54.6585,-5.903,0.0
54.659,-5.9025,90.0
54.659,-5.9015,90.0
54.6595,-5.901,0.0
54.6605,-5.901,0.0
54.6615,-5.901,0.0
54.6625,-5.901,0.0
54.6635,-5.901,0.0
54.6645,-5.901,0.0
54.665,-5.9005,90.0
54.6655,-5.8995,30.0
54.6665,-5.899,0.0
54.6675,-5.8985,30.0
54.6685,-5.898,0.0
54.6695,-5.898,0.0
54.6705,-5.898,0.0
54.6715,-5.898,0.0
54.672,-5.8975,90.0
54.6725,-5.897,0.0
54.673,-5.8965,90.0
54.6735,-5.896,0.0
54.674,-5.8955,90.0
54.6745,-5.895,0.0
54.675,-5.8945,90.0
54.6755,-5.894,0.0
54.676,-5.8935,90.0
54.676,-5.8925,90.0
54.6765,-5.892,0.0
54.677,-5.8915,90.0
54.677,-5.8905,90.0
54.6775,-5.89,0.0
54.678,-5.8895,90.0
54.678,-5.8885,90.0
54.6785,-5.888,0.0
54.679,-5.8875,90.0
54.679,-5.8865,90.0
54.679,-5.8855,90.0
54.6795,-5.885,0.0
54.68,-5.8845,90.0
54.68,-5.8835,90.0
54.6805,-5.883,0.0
54.681,-5.8825,90.0
54.6815,-5.882,0.0
54.682,-5.8815,90.0
54.682,-5.8805,90.0
54.6825,-5.88,0.0
54.683,-5.8795,90.0
54.683,-5.8785,90.0
54.6835,-5.878,0.0
54.684,-5.8775,90.0
54.684,-5.8765,90.0
54.6845,-5.8755,30.0
54.685,-5.8745,90.0
54.685,-5.8735,90.0
54.6855,-5.873,0.0
54.686,-5.8725,90.0
54.6865,-5.871,0.0
54.687,-5.8705,90.0
54.6875,-5.87,0.0
54.688,-5.8695,90.0
54.6885,-5.869,0.0
54.689,-5.8685,90.0
54.689,-5.8675,90.0
54.6895,-5.867,0.0
54.69,-5.8665,90.0
54.69,-5.8655,90.0
54.69,-5.8645,90.0
54.6905,-5.864,0.0
54.691,-5.8635,90.0
54.6915,-5.863,0.0
54.692,-5.8625,90.0
54.692,-5.8615,90.0
54.6925,-5.861,0.0
54.693,-5.8605,90.0
54.6935,-5.8595,30.0
54.694,-5.8585,90.0
54.6945,-5.858,0.0
54.695,-5.8575,90.0
54.695,-5.8565,90.0
54.695,-5.8555,90.0
54.6955,-5.855,0.0
54.696,-5.8545,90.0
54.696,-5.8535,90.0
54.696,-5.8525,90.0
54.696,-5.8515,90.0
54.696,-5.8505,90.0
54.6965,-5.85,0.0
54.6975,-5.85,0.0
54.698,-5.8505,90.0
54.6985,-5.851,0.0
54.699,-5.8505,90.0
54.699,-5.8495,90.0
54.699,-5.8485,90.0
54.699,-5.8475,90.0
54.699,-5.8465,90.0
54.6995,-5.846,0.0
54.7,-5.8455,90.0
54.7005,-5.845,0.0
54.701,-5.8445,90.0
54.701,-5.8435,90.0
54.7015,-5.8425,30.0
54.7025,-5.842,0.0
54.7035,-5.842,0.0
54.7045,-5.842,0.0
54.705,-5.8415,90.0
54.705,-5.8405,90.0
54.7055,-5.84,0.0
54.706,-5.8395,90.0
54.706,-5.8385,90.0
54.706,-5.8375,90.0
54.7065,-5.837,0.0
54.707,-5.8365,90.0
54.707,-5.8355,90.0
54.7075,-5.8345,30.0
54.708,-5.8335,90.0
54.708,-5.8325,90.0
54.708,-5.8315,90.0
54.7085,-5.831,0.0
54.709,-5.8305,90.0
54.709,-5.8295,90.0
54.709,-5.8285,90.0
54.709,-5.8275,90.0
54.709,-5.8265,90.0
54.7095,-5.826,0.0
54.71,-5.8255,90.0
54.7095,-5.825,0.0
54.709,-5.8245,90.0
54.7095,-5.824,0.0
54.71,-5.8235,90.0
54.71,-5.8225,90.0
54.71,-5.8215,90.0
54.71,-5.8205,90.0
54.71,-5.8195,90.0
54.71,-5.8185,90.0
54.71,-5.8175,90.0
54.7095,-5.8165,150.0
54.709,-5.8155,90.0
54.7095,-5.8145,30.0
54.71,-5.8135,90.0
54.71,-5.8125,90.0
54.71,-5.8115,90.0
54.71,-5.8105,90.0
54.71,-5.8095,90.0
54.71,-5.8085,90.0
54.71,-5.8075,90.0
54.71,-5.8065,90.0
54.7105,-5.806,0.0
54.7115,-5.806,0.0
54.7125,-5.8065,150.0
54.713,-5.8065,90.0
54.7135,-5.806,0.0
54.714,-5.8055,90.0
54.7145,-5.805,0.0
54.715,-5.8045,90.0
54.715,-5.8035,90.0
54.7155,-5.803,0.0
54.716,-5.8025,90.0
54.716,-5.8015,90.0
54.7165,-5.801,0.0
54.717,-5.8005,90.0
54.717,-5.7995,90.0
54.7175,-5.799,0.0
54.718,-5.7985,90.0
54.718,-5.7975,90.0
54.718,-5.7965,90.0
54.7185,-5.796,0.0
54.719,-5.7955,90.0
54.719,-5.7945,90.0
54.7195,-5.794,0.0
54.72,-5.7935,90.0
54.72,-5.7925,90.0
54.72,-5.7915,90.0
54.7205,-5.791,0.0
54.721,-5.7905,90.0
54.721,-5.7895,90.0
54.721,-5.7885,90.0
54.7215,-5.7875,30.0
54.722,-5.7865,90.0
54.722,-5.7855,90.0
54.722,-5.7845,90.0
54.722,-5.7835,90.0
54.722,-5.7825,90.0
54.7225,-5.782,0.0
54.723,-5.7815,90.0
54.723,-5.7805,90.0
54.723,-5.7795,90.0
54.723,-5.7785,90.0
54.723,-5.7775,90.0
54.723,-5.7765,90.0
54.723,-5.7755,90.0
54.7235,-5.7745,30.0
54.7235,-5.774,0.0
54.723,-5.7735,90.0
54.723,-5.7725,90.0
54.723,-5.7715,90.0
54.723,-5.7705,90.0
54.723,-5.7695,90.0
54.723,-5.7685,90.0
54.723,-5.7675,90.0
54.723,-5.7665,90.0
54.723,-5.7655,90.0
54.7225,-5.765,0.0
54.7215,-5.765,0.0
54.7205,-5.765,0.0
54.72,-5.7645,90.0
54.7205,-5.764,0.0
54.721,-5.7635,90.0
54.721,-5.7625,90.0
54.721,-5.7615,90.0
54.7215,-5.7605,30.0
54.722,-5.7595,90.0
54.722,-5.7585,90.0
54.7225,-5.758,0.0
54.723,-5.7575,90.0
54.7225,-5.756,0.0
54.7215,-5.7555,150.0
54.7215,-5.755,0.0
54.7225,-5.7555,150.0
54.7235,-5.757,0.0
