county,n,R4,mean_axis,cardinal_pct,low_n
Antrim,60,0.0353,82.8,33.3,False
Armagh,79,0.1096,62.0,29.1,False
Carlow,44,0.0479,24.0,36.4,False
Cavan,71,0.2344,40.5,14.1,False
Clare,59,0.1669,70.4,37.3,False
Cork,272,0.2858,76.8,44.9,False
Derry,68,0.1856,68.2,33.8,False
Donegal,50,0.2203,61.4,26.0,False
Down,93,0.2803,66.3,28.0,False
Dublin,252,0.3176,6.3,49.2,False
Fermanagh,39,0.1247,66.4,43.6,False
Galway,179,0.1107,44.8,28.5,False
Kerry,95,0.2309,76.4,38.9,False
Kildare,127,0.0922,10.1,43.3,False
Kilkenny,79,0.1654,83.1,41.8,False
Laois,68,0.2114,70.7,39.7,False
Leitrim,29,0.1684,67.5,37.9,True
Limerick,97,0.2458,69.0,29.9,False
Longford,33,0.4099,49.3,9.1,False
Louth,50,0.2853,84.6,52.0,False
Mayo,84,0.1871,17.6,34.5,False
Meath,103,0.2268,89.7,46.6,False
Monaghan,81,0.1946,58.5,22.2,False
Offaly,57,0.3026,82.7,47.4,False
Roscommon,51,0.3399,13.9,39.2,False
Sligo,49,0.186,89.3,49.0,False
Tipperary,124,0.3312,79.2,45.2,False
Tyrone,63,0.0183,46.0,33.3,False
Waterford,80,0.2166,82.9,47.5,False
Westmeath,39,0.1458,19.6,25.6,False
Wexford,73,0.1809,73.0,38.4,False
Wicklow,59,0.2748,17.8,39.0,False
