bucket,phrase,count
ground,memorial park,13
ground,pairc ui,7
ground,pairc naomh,3
ground,pairc emmet,3
ground,harbour field,2
ground,walsh park,2
ground,kelly park,2
ground,brendan park,2
ground,moore park,2
ground,stack park,2
ground,gaa club,2
ground,pairc peile,2
ground,pairc sean,2
ground,nowlan park,2
ground,shamrocks gaa,2
ground,pairc droichead,2
ground,pairc mhuire,2
ground,saint patrick,2
ground,patrick park,2
ground,byrne park,2
ground,gaelic grounds,2
ground,sports field,2
ground,playing fields,2
ground,community field,2
club,gaa club,209
club,gaa pitch,20
club,gaels gaa,14
club,gaa grounds,14
club,hurling club,11
club,rovers gaa,10
club,football club,9
club,st mary,9
club,eire og,9
club,gaa centre,7
club,centre excellence,7
club,shamrocks gaa,7
club,patrick gaa,7
club,st patrick,7
club,gaelic football,6
club,mary gaa,6
club,football pitch,5
club,camogie club,5
club,rangers gaa,5
club,og gaa,5
club,harps gaa,4
club,hurling football,4
club,wolfe tones,4
club,gaa ground,4
club,patricks gaa,4
club,raheny gaa,4
club,saint patrick,4
club,saint peregrine,4
club,peregrine gaa,4
club,saint mary,3
club,emmets gaa,3
club,colmcille gaa,3
club,james gaa,3
club,st patricks,3
club,st brigid,3
club,st joseph,3
club,kiltale gaa,3
club,gaelic pitch,3
club,sports centre,3
club,oliver plunkett,3
club,newcastle gaa,3
club,kilbride gaa,3
club,round towers,3
club,gaelic athletic,3
club,stradbally gaa,2
club,roanmore gaa,2
club,salle gaa,2
club,club cleaboy,2
club,cleaboy grounds,2
club,finian gaa,2
club,camross gaa,2
club,erin own,2
club,own gaa,2
club,sarsfield gaa,2
club,ballinhassig gaa,2
club,st james,2
club,sports complex,2
club,saint john,2
club,john bosco,2
club,gaa camogie,2
club,gaa complex,2
club,arklow geraldines,2
club,clonee gaa,2
club,youghal gaa,2
club,ballinagh gaa,2
club,geashill gaa,2
club,kill gaa,2
club,gaels gfc,2
club,menlough gaa,2
club,saint brigid,2
club,brigid gaa,2
club,brigid gfc,2
club,corofin gaa,2
club,robert emmets,2
club,emmets gfc,2
club,community pitch,2
club,cloyne gaa,2
club,naomh aban,2
club,inagh kilnamona,2
club,kilnamona gaa,2
club,rahillys gaa,2
club,callaghans mills,2
club,mills gaa,2
club,gaa park,2
club,clann ngael,2
club,gaa main,2
club,sarsfields gaa,2
club,clg cuchulainn,2
club,doon gaa,2
club,shannon gaels,2
club,island gaa,2
club,turloughmore gaa,2
club,joseph gaa,2
club,claregalway gaa,2
club,blackhall gaels,2
club,castlehaven gaa,2
club,naomh eoin,2
club,drom inch,2
club,inch gaa,2
club,gaa field,2
club,edenderry gaa,2
club,murroe boher,2
club,boher gaa,2
club,grange gaa,2
club,glenavy gac,2
club,midleton gaa,2
club,club house,2
club,plunkett gaa,2
club,gaa hurling,2
club,broadford gaa,2
club,jk brackens,2
club,brackens gaa,2
club,athletic club,2
club,association club,2
club,patrick gac,2
club,tones gac,2
club,thomas davis,2
club,clg naomh,2
club,naomh padraig,2
club,st johns,2
club,ilen rovers,2
club,saint ultans,2
club,ultans gaa,2
club,eoghan ruadh,2
club,ruadh gaa,2
club,hurling wall,2
club,saint michaels,2
club,michaels gfc,2
club,donovan rossa,2
club,john mitchels,2
club,mitchels gaa,2
club,towers gaa,2
club,neills gaa,2
club,holycross ballycahill,2
club,ballycahill gaa,2
club,st marys,2
