osm_id,lat,lon,leisure,name,key,bucket,dedication,primary
8025628,53.296245,-6.325888,sports_centre,Faugh's GAA,faugh s,club,,True
8026074,53.296614,-6.327552,sports_centre,Saint Jude's GAA,saint jude s,club,,True
8026075,53.297223,-6.329826,pitch,All Weather Pitch,all weather pitch,functional,,True
22549903,53.361602,-6.206765,sports_centre,Scoil Uí Chonaill GAA Club,scoil ui chonaill,club,,True
23106245,53.374057,-6.229946,sports_centre,St. Vincent's CLG,st vincent s,club,,True
23733696,53.468006,-6.221111,sports_centre,Saint Colmcilles G.F.C.,saint colmcilles,club,,True
25802545,53.289191,-6.31698,sports_centre,Páirc Uí Mhurchú,pairc ui mhurchu,ground,person-unattributed,True
26343868,53.32319,-9.829936,pitch,Parc Mhic Dara,parc mhic dara,club,,True
26711003,53.270127,-6.353499,sports_centre,Saint Anne's GAA Club,saint anne s,club,,True
28411235,53.510372,-6.478423,pitch,Seán Eiffe Park,sean eiffe park,ground,person-unattributed,True
28568272,52.563588,-6.326499,pitch,Buffers Alley GAA Pitch,buffers alley gaa pitch,functional,,True
28570544,52.583053,-6.232583,pitch,Ballygarrett GAA Pitch,ballygarrett gaa pitch,club,,True
28676302,53.388777,-8.958039,pitch,Annaghdown GAA,annaghdown,club,,True
30342539,53.392604,-6.598459,pitch,Main pitch,main pitch,functional,,True
31002705,53.379536,-6.590098,pitch,Harbour field,harbour field,ground,person-unattributed,True
31322396,51.937761,-8.476154,sports_centre,Saint Mary's AFC,saint mary s afc,club,,True
31323278,51.917711,-8.49739,sports_centre,Na Piarsaigh GAA,na piarsaigh,club,,True
31408116,51.892745,-8.418249,sports_centre,Blackrock Hurling Club,blackrock,club,,True
32565652,53.437208,-6.601791,pitch,Fitzgerald Kelly O'Brien Park,fitzgerald kelly o brien park,ground,place-or-other,True
33146525,53.06565,-7.216433,sports_centre,The Heath GAA,the heath,club,,True
33696347,53.378872,-6.44558,pitch,Garda Westmanstown Gaels GAA Club,garda westmanstown gaels,club,,True
33910321,53.419882,-6.230713,sports_centre,ALSAA,alsaa,club,,True
33911613,53.389793,-6.151554,pitch,Naomh Barróg,naomh barrog,club,,True
34108175,53.388129,-6.59968,sports_centre,Maynooth GAA Club,maynooth,club,,True
34659478,53.093439,-9.571219,pitch,An Pháirc,an phairc,club,,True
34729983,53.162782,-6.142259,sports_centre,Fitzsimons Park,fitzsimons park,ground,person-unattributed,True
34765926,53.386559,-6.604752,pitch,"Páirc na nGael Ollscoil na hÉireann , Má Nuad",pairc na ngael ollscoil na heireann ma nuad,ground,place-or-other,True
34921969,52.301146,-7.309437,sports_centre,Portlaw GAA,portlaw,club,,True
34993853,53.306133,-6.229896,pitch,Devlin Park,devlin park,ground,person-unattributed,True
35305789,52.133017,-7.453899,sports_centre,Stradbally GAA,stradbally,club,,True
35784816,51.884498,-8.520814,,Bishopstown GAA Club,bishopstown,club,,True
35834677,52.906675,-7.266851,sports_centre,Spink GFC,spink,club,,True
38152575,52.257436,-7.134876,,Roanmore GAA Club Sports & Social Centre,roanmore gaa club sports social centre,club,,True
38992885,53.384401,-6.298663,sports_centre,Erins Isle GAA Club,erins isle,club,,True
39236969,52.240442,-7.13934,sports_centre,Saint Saviours GAA Club,saint saviours,club,,True
39236986,52.254606,-7.128461,stadium,Páirc an Bhreatnaigh GAA,pairc an bhreatnaigh,ground,person-unattributed,True
39472462,53.578015,-6.113699,sports_centre,Skerries Harps GAA,skerries harps,club,,True
39472466,53.575367,-6.117123,pitch,Ballast pit,ballast pit,club,,True
40379889,52.23918,-7.180143,sports_centre,Butlerstown GAA Club,butlerstown,club,,True
40637361,53.361106,-6.207609,sports_centre,Scoil Uí Chonaill GAA Club,scoil ui chonaill,club,,False
40637362,53.360893,-6.207569,sports_centre,Scoil Uí Chonaill GAA Club,scoil ui chonaill,club,,False
40812066,53.372877,-6.216569,pitch,CLG Croabh Chiaráin,clg croabh chiarain,club,,True
41264717,52.524657,-8.392521,pitch,GAA pitch,gaa pitch,functional,,True
42111715,52.598848,-8.713928,pitch,Pairc Antoin O' Briain,pairc antoin o briain,ground,place-or-other,True
42737547,52.260851,-7.133876,sports_centre,Mount Sion GAA Club,mount sion,club,,True
42998955,51.887379,-8.43872,pitch,Ballinlough GAA Pitch,ballinlough gaa pitch,club,,True
44029388,52.254806,-7.128902,pitch,Walsh Park,walsh park,ground,person-unattributed,True
44154919,52.25743,-7.138742,sports_centre,De La Salle GAA Club - Cleaboy Grounds,de la salle gaa club cleaboy grounds,club,,True
44157954,52.168975,-7.141008,sports_centre,Tramore GAA,tramore,club,,True
45148896,52.258717,-7.138697,sports_centre,Roanmore GAA Club - Cleaboy Grounds,roanmore gaa club cleaboy grounds,club,,True
45842437,52.043552,-7.570496,pitch,Páirc Uí Shíocháin,pairc ui shiochain,ground,person-unattributed,True
46725431,52.681976,-6.291929,pitch,Saint Endas GAA Field,saint endas gaa field,ground,saint,True
46725454,52.681248,-6.274586,,Naomh Éanna GAA Club,naomh eanna,club,,True
48052011,53.363712,-6.198292,sports_centre,Clontarf GAA,clontarf,club,,True
48999634,53.329652,-6.293363,sports_centre,Templeogue Synge Street GAA Club,templeogue synge street,club,,True
49577162,53.272816,-6.191989,sports_centre,Kilmacud Crokes GAA (Silver Park),kilmacud crokes gaa silver park,club,,True
49849461,52.310447,-7.173299,pitch,Kilmacow GAA Club,kilmacow,club,,True
49989847,51.909246,-8.442553,pitch,Tank Field,tank field,ground,person-unattributed,True
50577437,53.259948,-6.302839,sports_centre,Frank Kelly Park,frank kelly park,ground,person-unattributed,True
50835189,52.202355,-7.42457,sports_centre,Kilmacthomas GAA,kilmacthomas,club,,True
51334107,53.527948,-6.178419,sports_centre,Thomas Ashe Park,thomas ashe park,ground,patriot,True
51334108,53.527774,-6.178153,pitch,Round Towers TAP 1,round towers tap 1,functional,,True
51334110,53.527616,-6.177072,pitch,Round Towers Astro,round towers astro,functional,,True
51516098,53.437125,-6.145186,sports_centre,Naomh Mearnóg GAA Club,naomh mearnog,club,,True
51677971,52.546108,-6.960363,,GAA/Soccer Pitches,gaa soccer pitches,club,,True
51732025,52.249908,-7.179058,pitch,Pitch 1,pitch 1,functional,,True
51732026,52.250613,-7.177954,pitch,Pitch 2,pitch 2,functional,,True
52019568,51.877159,-8.498868,sports_centre,Saint Finbarr's National Hurling and Football club,saint finbarr s national hurling and football,club,,True
52876202,53.364707,-6.50261,sports_centre,Leixlip GAA Club,leixlip,club,,True
53493320,52.836577,-8.855341,sports_centre,Clooney-Quin GAA,clooney quin,club,,True
56046594,53.19812,-6.5858,sports_centre,Eadestown GAA,eadestown,club,,True
