key,name,bucket,dedication
abbeyleix,Abbeyleix GAA,club,
abbeyside ballinacourty,Abbeyside - Ballinacourty GAA Club,club,
adamstown,Adamstown GAA Club,club,
adare,Adare GAA Club,club,
adrigole,Adrigole GAA Club,club,
aghabog emmetts,Aghabog Emmetts GAA,club,
aghaderg ballyvarley,Aghaderg Ballyvarley GAC,club,
aghadrumsee,Aghadrumsee GAA,club,
aghyaran st davog s,Aghyaran St. Davog's GAA,club,
aherlow,Aherlow GAA Club,club,
allenwood,Allenwood GFC,club,
alsaa,ALSAA,club,
an lub,An Lúb GAA Club,club,
an phairc,An Pháirc,club,
annaduff,Annaduff GAA,club,
annaghdown,Annaghdown GAA,club,
annough,Annough GAA,club,
aodh ruadh,Aodh Ruadh GAA,club,
ardagh pitch,Ardagh Pitch,club,
ardclough,Ardclough GAA,club,
ardfinnan,Ardfinnan GAA Club,club,
ardrahan,Ardrahan GAA,club,
argideen rangers,Argideen Rangers GAA Club,club,
arklow geraldines,Arklow Geraldines GAA,club,
arklow geraldines ballymoney,Arklow Geraldines Ballymoney GAA Club,club,
arklow rock parnells,Arklow Rock Parnells,club,
arles killeen,Arles Killeen GAA Club,club,
armagh gaa athletic grounds,Armagh GAA Athletic Grounds,club,
arravale rovers gaa sean tracey park,Arravale Rovers GAA (Seán Tracey Park),club,
ashford,Ashford GAA Club,club,
athea,Athea GAA,club,
athlacca,Athlacca Gaa,club,
athy,Athy GAA,club,
attical,Attical GAC,club,
aughawillan,Aughawillan GAA,club,
aughnamullen,Aughnamullen GAA,club,
austin stacks,Austin Stacks GAA Club,club,
avondale,Avondale GAA,club,
badoney ladies lgfa,Badoney Ladies LGFA,club,
bagenalstown gaels,Bagenalstown Gaels GAA,club,
balinderry gaa pitch,Balinderry GAA Pitch,club,
balla,Balla GAA Club,club,
ballacolla,Ballacolla GAA,club,
ballast pit,Ballast pit,club,
ballela,Ballela GAC,club,
ballina,Ballina GAA,club,
ballina stephenites,Ballina Stephenites GAA Club,club,
ballinabrakey,Ballinabrakey GAA,club,
ballinabrannagh,Ballinabrannagh GAA,club,
ballinacurra,Ballinacurra GAA Club,club,
ballinagar,Ballinagar GAA,club,
ballinagh,Ballinagh GAA,club,
ballinagh gaa grounds,Ballinagh GAA Grounds,club,
ballinakill,Ballinakill GAA,club,
ballinamere,Ballinamere GAA,club,
ballinascarthy hurling football,Ballinascarthy Hurling & Football Club,club,
ballinasloe,Ballinasloe GAA,club,
ballincollig,Ballincollig GAA,club,
