osm_type,osm_id,lat,lon,bearing_deg,length_m,width_m,aspect,area_m2,leisure,sport,name
way,4541251,53.360656,-6.251319,19.3,142.6,84.8,1.68,12095,pitch,gaelic_games,
way,8025628,53.296245,-6.325888,54.6,78.0,47.9,1.63,3738,sports_centre,gaelic_games,Faugh's GAA
way,8026074,53.296614,-6.327552,128.3,87.2,63.0,1.38,5495,sports_centre,gaelic_games,Saint Jude's GAA
way,8026075,53.297223,-6.329826,112.2,103.5,67.7,1.53,7012,pitch,gaelic_games;soccer,All Weather Pitch
way,18569262,54.591383,-5.968504,16.4,129.8,80.6,1.61,10453,pitch,gaelic_games,
way,18584062,54.527951,-6.049496,170.9,141.3,83.9,1.68,11856,pitch,gaelic_games,
way,18841252,54.574051,-6.008941,135.7,144.0,125.3,1.15,18039,pitch,gaelic_games,
way,18841272,54.57523,-6.007575,47.1,139.8,84.7,1.65,11838,pitch,gaelic_games,
way,18841274,54.574781,-6.006198,46.1,139.0,85.6,1.62,11900,pitch,gaelic_games,
way,22329731,51.895523,-8.499174,164.5,145.7,85.6,1.7,12473,pitch,gaelic_games,
way,22549903,53.361602,-6.206765,98.0,201.4,186.4,1.08,37541,sports_centre,gaelic_games,Scoil Uí Chonaill GAA Club
way,23106245,53.374057,-6.229946,66.9,38.8,23.5,1.65,914,sports_centre,gaelic_games,St. Vincent's CLG
way,23106247,53.373596,-6.227843,153.6,149.6,86.6,1.73,12949,pitch,gaelic_games,
way,23733696,53.468006,-6.221111,85.4,196.4,40.9,4.8,8030,sports_centre,gaelic_games,Saint Colmcilles G.F.C.
way,23789090,53.467274,-6.212706,30.8,147.7,94.7,1.56,13991,pitch,gaelic_games,
way,25009106,51.550144,-0.398438,63.5,282.8,114.6,2.47,32408,sports_centre,gaelic_games,McGovern Park
way,25132412,52.457583,13.336328,3.5,99.4,67.5,1.47,6712,pitch,field_hockey;soccer;gaelic_games,
way,25767356,53.293383,-9.072186,128.4,145.7,80.0,1.82,11653,pitch,gaelic_games,
way,25802545,53.289191,-6.31698,83.4,172.0,132.2,1.3,22737,sports_centre,gaelic_games,Páirc Uí Mhurchú
way,25857388,53.290046,-6.317647,63.0,118.0,59.3,1.99,6999,pitch,gaelic_games,
way,26134213,53.272054,-9.065703,35.9,102.7,60.7,1.69,6232,pitch,gaelic_games;rugby;soccer,
way,26134219,53.271579,-9.064913,35.0,132.5,75.6,1.75,10012,pitch,gaelic_games,
way,26343868,53.32319,-9.829936,100.0,152.6,93.8,1.63,14321,pitch,gaelic_games,Parc Mhic Dara
way,26711003,53.270127,-6.353499,71.3,459.6,362.7,1.27,166716,sports_centre,gaelic_games,Saint Anne's GAA Club
way,27167195,-32.02193,115.839413,55.4,115.0,75.2,1.53,8643,pitch,gaelic_games;multi,
way,27167197,-32.022501,115.838359,56.5,96.5,69.3,1.39,6690,pitch,gaelic_games;multi,
way,27325872,53.528166,-7.338227,71.0,143.5,82.2,1.75,11795,pitch,gaelic_games,
way,28406808,53.290737,-9.122851,43.9,145.9,86.3,1.69,12586,pitch,gaelic_games,
way,28411235,53.510372,-6.478423,16.4,159.8,102.4,1.56,16364,pitch,gaelic_games,Seán Eiffe Park
way,28568272,52.563588,-6.326499,109.3,288.1,231.8,1.24,66772,pitch,gaelic_games,Buffers Alley GAA Pitch
way,28570544,52.583053,-6.232583,89.6,218.1,199.7,1.09,43561,pitch,gaelic_games,Ballygarrett GAA Pitch
way,28676302,53.388777,-8.958039,53.6,145.5,85.1,1.71,12380,pitch,gaelic_games,Annaghdown GAA
way,28776716,53.379447,-6.069848,100.4,132.0,84.2,1.57,11114,pitch,gaelic_games,
way,29495941,53.284697,-6.283228,167.6,282.7,141.0,2.01,39848,pitch,gaelic_games,
way,30342539,53.392604,-6.598459,160.9,143.9,85.9,1.68,12360,pitch,gaelic_games,Main pitch
way,31002705,53.379536,-6.590098,142.6,83.1,63.1,1.32,5250,pitch,gaelic_games,Harbour field
way,31322396,51.937761,-8.476154,73.4,207.3,164.1,1.26,34022,sports_centre,soccer;gaelic_games,Saint Mary's AFC
